,isim,yıl,süre,kategori,oy
249,Dead Poets Society,1989,128,"Comedy, Drama            ",8.1
250,Minority Report,2002,145,"Action, Crime, Mystery            ",7.6
251,Edge of Tomorrow,2014,113,"Action, Adventure, Sci-Fi            ",7.9
252,Psycho,1960,109,"Horror, Mystery, Thriller            ",8.5
253,The Sixth Sense,1999,107,"Drama, Mystery, Thriller            ",8.1
254,Ratatouille,2007,111,"Animation, Adventure, Comedy            ",8.0
255,The Exorcist,1973,122,Horror            ,8.0
256,Office Space,1999,89,Comedy            ,7.7
257,The Curious Case of Benjamin Button,2008,166,"Drama, Fantasy, Romance            ",7.8
258,Toy Story 4,2019,100,"Animation, Adventure, Comedy            ",7.7
259,Kick-Ass,2010,117,"Action, Comedy, Crime            ",7.6
260,Finding Nemo,2003,100,"Animation, Adventure, Comedy            ",8.1
261,Tangled,2010,100,"Animation, Adventure, Comedy            ",7.7
262,Star Trek,2009,127,"Action, Adventure, Sci-Fi            ",7.9
263,Unforgiven,1992,130,"Drama, Western            ",8.2
264,The Bourne Identity,2002,119,"Action, Mystery, Thriller            ",7.9
265,Lost in Translation,2003,102,"Comedy, Drama            ",7.7
266,Sherlock Holmes,2009,128,"Action, Adventure, Mystery            ",7.6
267,American Gangster,2007,157,"Biography, Crime, Drama            ",7.8
268,Sense and Sensibility,1995,136,"Drama, Romance            ",7.6
269,Children of Men,2006,109,"Adventure, Drama, Sci-Fi            ",7.9
270,Star Wars: Episode V - The Empire Strikes Back,1980,124,"Action, Adventure, Fantasy            ",8.7
271,Marriage Story,2019,137,"Comedy, Drama, Romance            ",7.9
272,Little Miss Sunshine,2006,101,"Comedy, Drama            ",7.8
273,Saw,2004,103,"Horror, Mystery, Thriller            ",7.6
274,Hunt for the Wilderpeople,2016,101,"Adventure, Comedy, Drama            ",7.9
275,Star Wars: Episode VI - Return of the Jedi,1983,131,"Action, Adventure, Fantasy            ",8.3
276,Apollo 13,1995,140,"Adventure, Drama, History            ",7.6
277,Dallas Buyers Club,2013,117,"Biography, Drama            ",8.0
278,Gone with the Wind,1939,238,"Drama, History, Romance            ",8.1
279,The Deer Hunter,1978,183,"Drama, War            ",8.1
280,First Blood,1982,93,"Action, Adventure            ",7.7
281,Inside Man,2006,129,"Crime, Drama, Mystery            ",7.6
282,Birdman or (The Unexpected Virtue of Ignorance),2014,119,"Comedy, Drama            ",7.7
283,Deliverance,1972,109,"Adventure, Drama, Thriller            ",7.7
284,Casablanca,1942,102,"Drama, Romance, War            ",8.5
285,Dark Waters,2019,126,"Biography, Drama, History            ",7.6
286,Ocean's Eleven,2001,116,"Crime, Thriller            ",7.7
287,Salinui chueok,2003,131,"Crime, Drama, Mystery            ",8.1
288,True Grit,2010,110,"Drama, Western            ",7.6
289,Rain Man,1988,133,Drama            ,8.0
290,Wonder,2017,113,"Drama, Family            ",8.0
291,Crash,2004,112,"Crime, Drama, Thriller            ",7.7
292,The Warriors,1979,92,"Action, Crime, Thriller            ",7.6
293,Ben-Hur,1959,212,"Adventure, Drama, History            ",8.1
294,The Blues Brothers,1980,133,"Action, Adventure, Comedy            ",7.9
295,The Wizard of Oz,1939,102,"Adventure, Family, Fantasy            ",8.0
296,The Thing,1982,109,"Horror, Mystery, Sci-Fi            ",8.1
297,Black Hawk Down,2001,144,"Drama, History, War            ",7.7
298,"Lock, Stock and Two Smoking Barrels",1998,107,"Action, Comedy, Crime            ",8.2
299,Fear and Loathing in Las Vegas,1998,118,"Adventure, Comedy, Drama            ",7.6
300,Up,2009,96,"Animation, Adventure, Comedy            ",8.2
301,The Last of the Mohicans,1992,112,"Action, Adventure, Drama            ",7.7
302,La vie d'Adèle,2013,180,"Drama, Romance            ",7.7
303,The Blind Side,2009,129,"Biography, Drama, Sport            ",7.6
304,What We Do in the Shadows,2014,86,"Comedy, Horror            ",7.7
305,Kill Bill: Vol. 2,2004,137,"Action, Crime, Thriller            ",8.0
306,Back to the Future Part II,1989,108,"Adventure, Comedy, Sci-Fi            ",7.8
307,Manchester by the Sea,2016,137,Drama            ,7.8
308,Amadeus,1984,160,"Biography, Drama, History            ",8.3
309,Gone Baby Gone,2007,114,"Crime, Drama, Mystery            ",7.6
310,"Monsters, Inc.",2001,92,"Animation, Adventure, Comedy            ",8.1
311,Once Upon a Time in the West,1968,165,Western            ,8.5
312,Midnight in Paris,2011,94,"Comedy, Fantasy, Romance            ",7.7
313,Capharnaüm,2018,126,Drama            ,8.4
314,Taken,2008,90,"Action, Crime, Thriller            ",7.8
315,Mystic River,2003,138,"Crime, Drama, Mystery            ",7.9
316,Mulan,1998,88,"Animation, Adventure, Family            ",7.6
317,The Lives of Others,2006,137,"Drama, Mystery, Thriller            ",8.4
318,Lethal Weapon,1987,109,"Action, Crime, Thriller            ",7.6
319,A Man for All Seasons,1966,120,"Biography, Drama, History            ",7.7
320,Breakfast at Tiffany's,1961,115,"Comedy, Drama, Romance            ",7.6
321,Remember the Titans,2000,113,"Biography, Drama, Sport            ",7.8
322,Shichinin no samurai,1954,207,"Action, Adventure, Drama            ",8.6
323,How to Train Your Dragon,2010,98,"Animation, Action, Adventure            ",8.1
324,The King's Speech,2010,118,"Biography, Drama, History            ",8.0
325,Amélie,2001,122,"Comedy, Romance            ",8.3
326,Big Hero 6,2014,102,"Animation, Action, Adventure            ",7.8
327,Rear Window,1954,112,"Mystery, Thriller            ",8.4
328,Indiana Jones and the Last Crusade,1989,127,"Action, Adventure            ",8.2
329,Serenity,2005,119,"Action, Adventure, Sci-Fi            ",7.8
330,What's Eating Gilbert Grape,1993,118,Drama            ,7.8
331,Key Largo,1948,100,"Action, Crime, Drama            ",7.8
332,Chinatown,1974,130,"Drama, Mystery, Thriller            ",8.1
333,Incredibles 2,2018,118,"Animation, Action, Adventure            ",7.6
334,The Thin Red Line,1998,170,"Drama, War            ",7.6
335,"O Brother, Where Art Thou?",2000,107,"Adventure, Comedy, Crime            ",7.7
336,Gran Torino,2008,116,Drama            ,8.1
337,The Magnificent Seven,1960,128,"Action, Adventure, Western            ",7.7
338,Hell or High Water,2016,102,"Action, Crime, Drama            ",7.6
339,Incendies,2010,131,"Drama, Mystery, War            ",8.3
340,Who Framed Roger Rabbit,1988,104,"Animation, Adventure, Comedy            ",7.7
341,WALL·E,2008,98,"Animation, Adventure, Family            ",8.4
342,Scent of a Woman,1992,156,Drama            ,8.0
343,Der Untergang,2004,156,"Biography, Drama, History            ",8.2
344,3 Idiots,2009,170,"Comedy, Drama            ",8.4
345,End of Watch,2012,109,"Action, Crime, Drama            ",7.6
346,Mary Poppins,1964,139,"Comedy, Family, Fantasy            ",7.8
347,Mononoke-hime,1997,134,"Animation, Action, Adventure            ",8.4
348,Eastern Promises,2007,100,"Action, Crime, Drama            ",7.6
349,Blood Diamond,2006,143,"Adventure, Drama, Thriller            ",8.0
350,Twelve Monkeys,1995,129,"Mystery, Sci-Fi, Thriller            ",8.0
351,Slumdog Millionaire,2008,120,"Drama, Romance            ",8.0
352,A Few Good Men,1992,138,"Drama, Thriller            ",7.7
353,Coraline,2009,100,"Animation, Drama, Family            ",7.7
354,Gravity,2013,91,"Drama, Sci-Fi, Thriller            ",7.7
355,Misery,1990,107,"Drama, Thriller            ",7.8
356,Fa yeung nin wah,2000,98,"Drama, Romance            ",8.1
357,The Others,2001,101,"Horror, Mystery, Thriller            ",7.6
358,The Untouchables,1987,119,"Crime, Drama, Thriller            ",7.9
359,The Ladykillers,1955,91,"Comedy, Crime            ",7.7
360,The Florida Project,2017,111,Drama            ,7.6
361,Just Mercy,2019,137,"Biography, Crime, Drama            ",7.6
362,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,Comedy            ,8.4
363,The Theory of Everything,2014,123,"Biography, Drama, Romance            ",7.7
364,Groundhog Day,1993,101,"Comedy, Fantasy, Romance            ",8.0
365,Hotaru no haka,1988,89,"Animation, Drama, War            ",8.5
366,Zombieland,2009,88,"Adventure, Comedy, Fantasy            ",7.6
367,To Kill a Mockingbird,1962,129,"Crime, Drama            ",8.2
368,Do the Right Thing,1989,120,"Comedy, Drama            ",8.0
369,The Last Samurai,2003,154,"Action, Drama            ",7.7
370,(500) Days of Summer,2009,95,"Comedy, Drama, Romance            ",7.7
371,Edward Scissorhands,1990,105,"Drama, Fantasy, Romance            ",7.9
372,Willy Wonka & the Chocolate Factory,1971,100,"Family, Fantasy, Musical            ",7.8
373,Fantastic Mr. Fox,2009,87,"Animation, Adventure, Comedy            ",7.9
374,Where Eagles Dare,1968,158,"Action, Adventure, War            ",7.7
375,Captain Phillips,2013,134,"Adventure, Biography, Crime            ",7.8
376,Blue Velvet,1986,120,"Drama, Mystery, Thriller            ",7.7
377,Ang-ma-reul bo-at-da,2010,144,"Action, Crime, Drama            ",7.8
378,The Bourne Supremacy,2004,108,"Action, Mystery, Thriller            ",7.7
379,The Elephant Man,1980,124,"Biography, Drama            ",8.1
380,The Graduate,1967,106,"Comedy, Drama, Romance            ",8.0
